ต้นที่,เลขแท็กต้นไม้,เลขรหัสต้นไม้,ชนิดพันธุ์,ระยะปลูก,ความโตที่ระดับคอราก_ซม,ไผ่_จำนวนลำ,ไผ่_ความโต_ซม,ความสูง_ม,การติดดอกออกผล,หมายเหตุ
57,57 P5 04 (07) พะยูง,P05A08057,พะยูง,4x4,0.81,,,,0.88,,
58,58 P5 04 (06-A) สัก,P05A01058,สัก,4x4,1.52,,,,0.26,✓,
59,59 P5 04 (04-A) ขี้เหล็กบ้าน,P05A14059,ขี้เหล็กบ้าน,4x4,0.84,,,,0.23,,
60,60 P5 04 (04) ขี้เหล็กบ้าน,P05A14060,ขี้เหล็กบ้าน,4x4,2.25,,,,1.40,✓,
61,61 P5 04 (03-A) สะเดา,P05A18061,สะเดา,4x4,,,,,,X
62,62 P5 04 (03) สะเดา,P05A18062,สะเดา,4x4,0.41,,,,0.19,,
63,63 P5 04 (01) ไผ่,P05A20063,ไผ่,4x4,,3,0.56,1.16,,
64,64 P5 05 (01) ไผ่,P05A20064,ไผ่,4x4,,12,1.31,1.80,,
65,65 P5 05 (03-A) ไผ่,P05A20065,ไผ่,4x4,,8,1.41,2.10,,
78,78 P5 05 (11) ขี้เหล็กบ้าน,P05A14078,ขี้เหล็กบ้าน,4x4,,,,,,X
91,91 P5 06 (02) ไผ่,P05A20091,ไผ่,4x4,,6,1.47,1.80,,
92,92 P5 06 (01) ไผ่,P05A20092,ไผ่,4x4,,4,1.11,1.50,,
93,93 P5 07 (01) ไผ่,P05A20093,ไผ่,4x4,,4,0.91,1.60,,
94,94 P5 07 (02) ไผ่,P05A20094,ไผ่,8x4,,10,1.22,2.10,,
101,101 P5 08 (01) ไผ่,P05A20101,ไผ่,4x4,,3,0.35,0.50,,
102,102 P5 09 (01) ไผ่,P05A20102,ไผ่,4x4,,,,,,X
103,103 P5 09 (02) ไผ่,P05A20103,ไผ่,4x8,,1,1.01,0.55,,
108,108 P5 09 (07) สะเดา,P05A18108,สะเดา,8x8,7.22,,,,,
109,109 P5 09 (09) สะเดา,P05A18109,สะเดา,8x8,,,,,,
110,110 P5 10 (09) สะเดา,P05A18110,สะเดา,8x8,,,,,,
117,117 P5 10 (01) ไผ่,P05A20117,ไผ่,4x4,,13,1.33,12.30,,
118,118 P5 11 (01) ไผ่,P05A20118,ไผ่,4x4,,13,0.92,12.40,,
119,119 P5 12 (01) ไผ่,P05A20119,ไผ่,4x4,,3,0.61,0.80,✓,
131,131 P5 13 (02) ไผ่,P05A20131,ไผ่,4x4,,,,,,
132,132 P5 13 (01) ไผ่,P05A20132,ไผ่,4x4,,5,1.08,1.80,,
133,133 P5 14 (01) ไผ่,P05A20133,ไผ่,4x4,,5,1.07,1.40,,
134,134 P5 14 (02) ไผ่,P05A20134,ไผ่,4x4,,6,1.48,2.30,,
